7zip 26.00-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-3
acl 2.3.2-1
acpi 1.8-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
advancecomp 2.6-2
advancecomp-debug 2.6-2
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aircrack-ng 1.7-6
alembic 1.8.10-2
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
android-tools 35.0.2-23
android-udev 20250525-1
anydesk-bin 6.4.0-4
aom 3.13.1-2
apache 2.4.66-1
appstream 1.1.2-1
appstream-glib 0.8.3-3
apr 1.7.6-1
apr-util 1.6.3-2
apt 3.1.16-1
archlinux-java-run 11-1
archlinux-keyring 20260206-1
arduino-builder 1.6.1-3
arduino-cli 1.4.1-1
arduino-ctags 5.8_arduino11-4
argon2 20190702-6
aria2 1.37.0-2
aribb24 1.0.3-4
asciidoctor 2.0.26-1
asciinema 3.1.0-2
asio 1.36.0-1
aspnet-runtime 10.0.3.sdk103-1
aspnet-runtime-6.0 6.0.36.sdk136-2
assimp 6.0.4-1
at-spi2-core 2.58.3-1
atkmm 2.28.4-1
attica 6.23.0-1
attr 2.5.2-1
aubio 0.4.9-24
audacious-plugins 4.5.1-2
audiofile 0.3.6-11
audit 4.1.2-2
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1
ayatana-ido 0.10.4-1
babl 0.1.122-1
baloo 6.23.0-1
barrier 2.4.0-3
barrier-headless 2.4.0-3
base 3-3
base-devel 1-2
bash 5.3.9-1
bat 0.26.1-2
bc 1.08.2-1
bcg729 1.1.1-2
bcprov 1.83-1
beep 1.4.12-2
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:5.0.1-5
blosc 1.21.6-2
blueman 2.4.6-2
bluez 5.86-2
bluez-hid2hci 5.86-2
bluez-libs 5.86-2
bluez-tools 0.2.0-6
bluez-utils 5.86-2
boost 1.89.0-4
boost-libs 1.89.0-4
botan2 2.19.5-2
box2d 3.1.1-1
brave-bin 1:1.74.48-1
breeze-icons 6.23.0-1
bridge-utils 1.7.1-2
brltty 6.8-6
brotli 1.2.0-1
btrfs-progs 6.19-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.120.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-2
cairomm-1.16 1.18.0-2
calf 0.90.8-6
cameractrls 0.6.10-2
cantarell-fonts 1:0.311-1
capstone 5.0.7-2
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.6.3-1
cheese 44.1-5
chmlib 0.40-10
chromaprint 1.6.0-2
cifs-utils 7.4-1
cjson 1.7.19-1
clang 21.1.8-1
clang15 15.0.7-3
clang15-debug 15.0.7-3
clucene 2.3.3.4-17
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 4.2.3-1
cmatrix 2.0-4
code 1.109.5-1
cogl 1.22.8-3
coin 1:4.0.7-1
colord 1.4.8-1
compiler-rt 21.1.8-1
compiler-rt15 15.0.7-1
composefs 1.0.8-1
confuse 3.3-4
containerd 2.2.1-1
convertlit 1.8-13
coreutils 9.10-1
cowpatty 4.8-4
cowsay 3.8.4-1
cppdap 1.58.0-2
crypto++ 8.9.0-2
cryptsetup 2.8.4-1
cups 2:2.4.16-2
cups-filters 2.0.1-2
curl 8.18.0-3
cython 3.2.4-3
cython2-debug 0.29.37-1
dav1d 1.5.3-1
db 6.2.32-4
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dconf 0.49.0-1
